"","Category","PdDistrict","X","Y"
"571005","VANDALISM","SOUTHERN",-122.412620258006,37.7770259271797
"630341","DRUG/NARCOTIC","BAYVIEW",-122.389018643182,37.7423587130896
"789265","VEHICLE THEFT","BAYVIEW",-122.387729373698,37.7312323939241
"459383","BURGLARY","NORTHERN",-122.419456894393,37.7768617186718
"826316","SECONDARY CODES","BAYVIEW",-122.39859360431,37.7204502300801
"174362","LARCENY/THEFT","MISSION",-122.407538332319,37.7657827544276
"537069","LARCENY/THEFT","PARK",-122.458951288653,37.7481092594339
"631470","LARCENY/THEFT","NORTHERN",-122.431206932079,37.7845681170336
"45896","WEAPON LAWS","SOUTHERN",-122.415444159886,37.7780245674641
"161815","SUSPICIOUS OCC","NORTHERN",-122.432116233695,37.7800304351156
"131796","LARCENY/THEFT","NORTHERN",-122.435850712365,37.7905022209606
"160932","LARCENY/THEFT","MISSION",-122.419694769885,37.7577752793043
"262751","NON-CRIMINAL","SOUTHERN",-122.410334776842,37.7728140362003
"404377","LARCENY/THEFT","INGLESIDE",-122.453409884858,37.7315296799363
"726529","OTHER OFFENSES","TENDERLOIN",-122.411800134753,37.7840890366868
"444508","MISSING PERSON","RICHMOND",-122.485529481793,37.7771701179455
"344540","MISSING PERSON","BAYVIEW",-122.394438859914,37.7364438996732
"371665","VEHICLE THEFT","TENDERLOIN",-122.414269361877,37.7842081124308
"650807","OTHER OFFENSES","SOUTHERN",-122.408518394535,37.773760403167
"267868","LARCENY/THEFT","SOUTHERN",-122.407844136792,37.7767462195389
"352143","OTHER OFFENSES","MISSION",-122.417016663517,37.7595460924587
"265402","VANDALISM","BAYVIEW",-122.387247607197,37.7208692407802
"866134","OTHER OFFENSES","TARAVAL",-122.468899845559,37.7392774526754
"806641","VEHICLE THEFT","TARAVAL",-122.464938189897,37.7217318702357
"5549","LIQUOR LAWS","BAYVIEW",-122.405226360283,37.7614068935355
"39036","ASSAULT","TARAVAL",-122.460564524171,37.7113249681306
"533068","LARCENY/THEFT","TENDERLOIN",-122.412606230898,37.7810067957738
"33800","LARCENY/THEFT","RICHMOND",-122.449636031165,37.7823043073506
"639639","BURGLARY","CENTRAL",-122.404784825095,37.7886943991722
"453442","NON-CRIMINAL","BAYVIEW",-122.38628498364,37.7312896874195
"337999","VANDALISM","SOUTHERN",-122.403404791479,37.775420706711
"367225","OTHER OFFENSES","NORTHERN",-122.420691680792,37.7905770710537
"807402","VEHICLE THEFT","MISSION",-122.432951132171,37.7626190753451
"506407","SEX OFFENSES FORCIBLE","SOUTHERN",-122.403070886779,37.7877867423496
"340840","WARRANTS","SOUTHERN",-122.396305356237,37.7932572003309
"709084","ASSAULT","TENDERLOIN",-122.409756223507,37.7869126924267
"519372","VANDALISM","MISSION",-122.419058868103,37.7594227506297
"191231","LARCENY/THEFT","TARAVAL",-122.460290505803,37.7209451195999
"576205","OTHER OFFENSES","NORTHERN",-122.432706975892,37.7832909416362
"316914","STOLEN PROPERTY","BAYVIEW",-122.404830420604,37.7307945918953
"107582","WEAPON LAWS","TARAVAL",-122.476495067943,37.7383216641636
"561854","LARCENY/THEFT","NORTHERN",-122.432018826546,37.7756739897587
"462119","SUSPICIOUS OCC","NORTHERN",-122.432142776025,37.780495583709
"194732","ASSAULT","SOUTHERN",-122.409708423721,37.7828276498838
"756791","FRAUD","BAYVIEW",-122.388078475154,37.7324430442707
"745159","DRUG/NARCOTIC","SOUTHERN",-122.406629219771,37.7777816676305
"528124","STOLEN PROPERTY","BAYVIEW",-122.409534393077,37.7287466344276
"392235","MISSING PERSON","SOUTHERN",-122.413045971966,37.7738617771611
"529012","DRUG/NARCOTIC","TENDERLOIN",-122.412970537591,37.7857883766888
"778762","VEHICLE THEFT","RICHMOND",-122.457590896245,37.7762481844578
"471571","LARCENY/THEFT","RICHMOND",-122.466204667893,37.7725405391593
"338237","FRAUD","RICHMOND",-122.443842924589,37.7838441255105
"157406","OTHER OFFENSES","MISSION",-122.41965834371,37.7642205603745
